"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",24,-0.646766438396678,-2.15456153717578,1.17609037649318e-05,0.00061940759828641,0.000437423087397465,570,"tags=71%, list=24%, signal=54%","17395/20306/20295/19225/21926/50905/20201/20293/16176/330122/17386/12981/20310/15945/16193/12985/16819"
"2","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",43,-0.561308721462559,-2.12735792216919,9.06076730910367e-06,0.00061940759828641,0.000437423087397465,625,"tags=60%, list=27%, signal=45%","246730/246728/246727/23960/23961/15951/107607/21926/20846/54396/12796/15944/54483/20293/54123/16176/14468/330122/15977/229900/20310/55932/16193/20304/14469/229898"
"3","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",86,-0.468268554655579,-1.96444332953301,7.04593199143063e-06,0.00061940759828641,0.000437423087397465,777,"tags=59%, list=33%, signal=41%","21938/21941/252837/23832/20303/20312/230979/16181/16161/227288/16878/66102/16992/21942/14102/20306/12769/20295/21939/22164/21926/329244/50905/12156/14600/12771/55985/16184/16153/246779/20293/16175/22035/16176/330122/215257/16196/15977/54448/12981/56066/20310/20299/15945/16193/16160/209590/12985/20304/20307/17329"
"4","mmu05160","Hepatitis C - Mus musculus (house mouse)",29,-0.571244916629892,-1.97806169603422,0.000210796673216855,0.00832646859206578,0.00588011772657544,753,"tags=76%, list=32%, signal=52%","22259/230073/20847/246730/246728/246727/14102/23960/23961/17869/21926/12702/112419/20846/17858/54123/667373/15977/15957/58185/17857/15945"
"5","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)",19,-0.631748965072197,-1.98925286334113,0.000436852144362119,0.00879035286851283,0.00620771088649141,204,"tags=42%, list=9%, signal=39%","54483/54123/16176/15977/15945/16193/58203/20304"
"6","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)",40,-0.530467516663251,-1.9779575107238,0.000281423982241134,0.00879035286851283,0.00620771088649141,777,"tags=70%, list=33%, signal=48%","21938/252837/23832/20303/20312/230979/227288/16992/20306/12769/20295/21926/329244/12771/55985/16184/16153/20293/22035/330122/56066/20310/20299/15945/16193/20304/20307/17329"
"7","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)",30,-0.551350809547501,-1.93061355693529,0.000383465973942403,0.00879035286851283,0.00620771088649141,149,"tags=30%, list=6%, signal=28%","54123/16176/15977/56066/15945/16193/16160/20304/17329"
"8","mmu05164","Influenza A - Mus musculus (house mouse)",45,-0.506002589672689,-1.92586003599727,0.000445081157899384,0.00879035286851283,0.00620771088649141,625,"tags=56%, list=27%, signal=41%","246730/246728/246727/14102/23960/23961/71586/14969/21926/12702/20846/20293/17858/16175/22035/54123/16176/12265/15977/58185/17857/15945/16193/16160/20304"
"9","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)",18,0.48970641176965,2.22772713735394,0.000780822743200431,0.0123369993425668,0.0087123379767627,479,"tags=61%, list=20%, signal=49%","56811/14371/22410/226154/212398/20317/16842/68339/12322/12444/93840"
"10","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",25,-0.566678922975211,-1.90058564724263,0.000767483764521658,0.0123369993425668,0.0087123379767627,195,"tags=36%, list=8%, signal=33%","20293/11433/16175/16176/330122/12981/20310/16193/20304"
"11","mmu04668","TNF signaling pathway - Mus musculus (house mouse)",41,-0.498838969293397,-1.86579217550258,0.00103244904581487,0.0148297226580681,0.0104726888857776,851,"tags=68%, list=36%, signal=44%","18035/26410/15894/74568/21938/16449/20312/16878/16992/17395/14102/16362/19225/21926/12702/15953/20293/16176/22029/330122/22329/15977/13614/12981/20310/15945/16193/20304"
"12","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)",82,-0.419566486505822,-1.7423648889102,0.00128405391653609,0.0169067099010585,0.0119394486976162,903,"tags=63%, list=39%, signal=40%","20779/142980/15006/18987/100529082/16452/18035/667977/14960/630294/21356/230073/16402/230979/69550/15007/20847/231805/16992/246730/246728/246727/69717/15039/545812/15015/15024/14102/23960/23961/15040/15042/20684/12266/110558/21354/71586/14969/21926/170741/12702/20846/14990/20293/54123/16176/110557/15977/16193/16160/20304/240063"
"13","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)",41,-0.489770452630961,-1.83187347934267,0.00172073176300087,0.0209135091195491,0.0147690337553111,226,"tags=32%, list=10%, signal=29%","108078/237038/20293/22035/54123/16176/330122/22329/15977/20310/16193/16160/20304"
"14","mmu05142","Chagas disease - Mus musculus (house mouse)",24,-0.553260070527342,-1.84306543637051,0.00216495970834179,0.0244331167084287,0.0172545660965586,245,"tags=46%, list=10%, signal=41%","14102/12266/21926/16153/20293/16176/15977/16193/16160/20304/18126"
"15","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)",31,-0.515454240787427,-1.80859470015076,0.00234530400021922,0.0247038688023091,0.0174457701068939,196,"tags=29%, list=8%, signal=27%","241113/16176/330122/12263/15977/11529/20310/16193/16160"
"16","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)",17,-0.584290530096657,-1.80875578067872,0.00333316855995494,0.0271544730902983,0.0191763767326557,426,"tags=53%, list=18%, signal=44%","14969/21926/20846/16153/16175/16176/16193/16160/209590"
"17","mmu05133","Pertussis - Mus musculus (house mouse)",27,-0.524434378819685,-1.79654372462165,0.0028504675181634,0.0271544730902983,0.0191763767326557,490,"tags=44%, list=21%, signal=36%","12266/107607/16362/50908/21926/16153/16175/16176/12263/16193/16160/18126"
"18","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)",40,-0.47996627314049,-1.78965321161222,0.00343727507472131,0.0271544730902983,0.0191763767326557,397,"tags=38%, list=17%, signal=32%","12702/329244/14600/20846/16184/16153/246779/12703/16196/15977/12981/16193/16160/209590/12985"
"19","mmu05145","Toxoplasmosis - Mus musculus (house mouse)",29,-0.511316581404136,-1.77054659880322,0.00302790797728219,0.0271544730902983,0.0191763767326557,450,"tags=45%, list=19%, signal=37%","21939/14969/21926/20846/54396/15944/16153/16782/16145/12703/12265/16160/18126"
"20","mmu05162","Measles - Mus musculus (house mouse)",35,-0.485409716275025,-1.75495997260247,0.00338321179108643,0.0271544730902983,0.0191763767326557,714,"tags=63%, list=31%, signal=44%","230073/15511/20847/246730/246728/246727/14102/23960/23961/71586/69142/27218/20846/16184/17858/16175/54123/16176/15977/17857/16193/16160"
"21","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",60,-0.425486799447547,-1.69271356315873,0.00398078539144691,0.0299506710404101,0.0211510401751064,1031,"tags=73%, list=44%, signal=42%","16391/14972/14964/21355/21929/12010/15006/100529082/18035/16408/15894/667977/14960/630294/21356/230073/15007/20847/246730/246728/246727/69717/15039/15015/15024/14102/23960/23961/15040/15042/110558/17869/21354/21939/14969/21926/20846/14990/54123/110557/100038882/15977/15945/16193"
"22","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)",51,-0.428722823026412,-1.66933209023882,0.00417438719743302,0.0299796898724735,0.021171533154445,1128,"tags=84%, list=48%, signal=45%","14991/12774/12927/231991/18751/19217/14972/20302/14964/21355/20296/12010/12768/20779/15006/100529082/18035/667977/630294/21356/20303/20312/15007/69717/15039/15015/15024/14102/15040/15042/110558/17869/21354/19225/21926/12771/14990/20293/16176/110557/15977/16193/20304"
"23","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)",29,-0.494768994544579,-1.71324692439772,0.00492655556989021,0.0338432947844632,0.0238999949843644,776,"tags=93%, list=33%, signal=63%","14991/14961/19275/14972/14964/15006/100529082/667977/14960/630294/15007/16992/69717/15039/15015/15024/14102/15040/15042/110558/14969/21926/14990/16175/16176/110557/16160"
"24","mmu01200","Carbon metabolism - Mus musculus (house mouse)",12,0.537204301075269,2.11934545131085,0.00602967122274856,0.0380289201243456,0.0268558663103306,1088,"tags=100%, list=47%, signal=54%","68738/108037/269951/100678/236539/20425/20917/19139/13885/75731/13807/212032"
"25","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)",13,-0.617013254504803,-1.77893575407611,0.00624863662191965,0.0380289201243456,0.0268558663103306,470,"tags=62%, list=20%, signal=49%","80861/71586/21926/54123/100038882/15977/15945/16160"
"26","mmu05143","African trypanosomiasis - Mus musculus (house mouse)",11,-0.646736248158021,-1.77075139647825,0.00625792356476573,0.0380289201243456,0.0268558663103306,571,"tags=73%, list=24%, signal=55%","209176/14102/21926/16153/16176/22329/16193/16160"
"27","mmu05144","Malaria - Mus musculus (house mouse)",18,-0.559415785295768,-1.74887262280609,0.0079104484489987,0.0416616951647265,0.0294213170383811,450,"tags=50%, list=19%, signal=41%","21939/21926/16153/20293/16176/27007/22329/16193/12985"
"28","mmu05330","Allograft rejection - Mus musculus (house mouse)",27,-0.501425722082339,-1.71772345741018,0.00740178686014983,0.0416616951647265,0.0294213170383811,776,"tags=78%, list=33%, signal=53%","15006/100529082/667977/14960/630294/15007/69717/15039/15015/15024/14102/15040/15042/110558/21939/14969/21926/14990/16153/110557/16160"
"29","mmu05146","Amoebiasis - Mus musculus (house mouse)",27,-0.498596018318743,-1.70802980126493,0.00781996257855752,0.0416616951647265,0.0294213170383811,528,"tags=48%, list=23%, signal=38%","12827/20706/11846/21926/16153/16782/16176/330122/12981/20310/16193/16160/18126"
"30","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)",48,-0.431397075710075,-1.67018317396236,0.00759153550711322,0.0416616951647265,0.0294213170383811,1031,"tags=77%, list=44%, signal=44%","16391/14972/14964/15162/12768/20779/142980/15006/100529082/16452/18035/15894/667977/630294/15007/20847/69717/15039/15015/15024/14102/15040/15042/12266/110558/17869/19225/20846/12771/14990/54123/330122/110557/15977/12981/20310/16193"
"31","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)",54,-0.421309466696721,-1.65595209864626,0.0085955180618949,0.043809414638045,0.0309380276591124,625,"tags=43%, list=27%, signal=32%","246730/246728/246727/23960/23961/12266/71586/50908/21926/20846/20293/17858/16176/12263/100038882/14962/15977/12981/17857/15945/16193/16160/12985"
